case,model,architecture,candidate_id,output_contract,schema_valid,assessable_outcome,final_contract_status,reported_disposition,consensus_score_0_1,judge_sd,critical_flags,run_directory
CuAAC,Qwen3.6-27B,One-shot,N2-214B9E89,direct_json_object_v2,True,True,not_applicable_one_shot,SCREEN,0.864583,0.191508,0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v1_20260819/generation/cuaac/qwen_one_shot/repeat_01
CuAAC,Qwen3.6-27B,FlowPilot,N2-DE9454B0,production_final_contract,True,True,executable,SCREEN,0.916667,0.117851,0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v1_20260819/generation/cuaac/qwen_flowpilot/repeat_01
CuAAC,GPT-5.4,One-shot,N2-45C1A6CF,direct_json_object_v2,True,True,not_applicable_one_shot,SCREEN,0.90625,0.132583,0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v1_20260819/generation/cuaac/openai_one_shot/repeat_01
CuAAC,GPT-5.4,FlowPilot,N2-DE57F440,production_final_contract,True,True,executable,SCREEN,0.958333,0.058925,0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v1_20260819/generation/cuaac/openai_flowpilot/repeat_01
Hydrogenolysis,Qwen3.6-27B,One-shot,N2-A64BBF1E,direct_json_object_v2,True,True,not_applicable_one_shot,SCREEN,0.596154,0.38075,3,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v1_20260819/generation/hydrogenolysis/qwen_one_shot/repeat_01
Hydrogenolysis,Qwen3.6-27B,FlowPilot,N2-CBD2FE26,production_final_contract,True,True,executable,SCREEN,0.769231,0.326357,0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v1_20260819/generation/hydrogenolysis/qwen_flowpilot/repeat_01
Hydrogenolysis,GPT-5.4,One-shot,N2-09AF5CB0,direct_json_object_v2,True,True,not_applicable_one_shot,SCREEN,0.913461,0.122384,0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v1_20260819/generation/hydrogenolysis/openai_one_shot/repeat_01
Hydrogenolysis,GPT-5.4,FlowPilot,N2-9A713DEA,production_final_contract,True,True,executable,SCREEN,0.836539,0.231169,2,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v1_20260819/generation/hydrogenolysis/openai_flowpilot/repeat_01
Two-stage amidation,Qwen3.6-27B,One-shot,N2-2F3104B5,direct_json_object_v2,True,True,not_applicable_one_shot,SCREEN,0.759615,0.339955,0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v1_20260819/generation/two_stage_amidation/qwen_one_shot/repeat_01
Two-stage amidation,Qwen3.6-27B,FlowPilot,N2-07143A9C,production_final_contract,True,True,blocked,BLOCK,0.75,0.353553,3,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v1_20260819/generation/two_stage_amidation/qwen_flowpilot/repeat_01
Two-stage amidation,GPT-5.4,One-shot,N2-81AD999E,direct_json_object_v2,False,True,not_applicable_one_shot,SCREEN,0.875,0.14958,0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v1_20260819/generation/two_stage_amidation/openai_one_shot/repeat_01
Two-stage amidation,GPT-5.4,FlowPilot,N2-66CE2C7C,production_final_contract,False,False,blocked,BLOCK,0.528846,0.040794,8,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v1_20260819/generation/two_stage_amidation/openai_flowpilot/repeat_01
Exothermic dinitration,Qwen3.6-27B,One-shot,N2-721FFBB6,direct_json_object_v2,True,True,not_applicable_one_shot,SCREEN,0.697917,0.427211,0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v1_20260819/generation/exothermic_dinitration/qwen_one_shot/repeat_01
Exothermic dinitration,Qwen3.6-27B,FlowPilot,N2-28BC6EB0,production_final_contract,True,True,executable,SCREEN,0.791667,0.294628,2,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v1_20260819/generation/exothermic_dinitration/qwen_flowpilot/repeat_01
Exothermic dinitration,GPT-5.4,One-shot,N2-E1E50129,direct_json_object_v2,False,True,not_applicable_one_shot,SCREEN,0.864583,0.191508,0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v1_20260819/generation/exothermic_dinitration/openai_one_shot/repeat_01
Exothermic dinitration,GPT-5.4,FlowPilot,N2-B9C4306A,production_final_contract,True,True,executable,SCREEN,0.739583,0.250434,1,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v1_20260819/generation/exothermic_dinitration/openai_flowpilot/repeat_01
Photochemical oxidation,Qwen3.6-27B,One-shot,N2-8741705A,direct_json_object_v2,True,True,not_applicable_one_shot,SCREEN,0.769231,0.244768,1,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v1_20260819/generation/photochemical_oxidation/qwen_one_shot/repeat_01
Photochemical oxidation,Qwen3.6-27B,FlowPilot,N2-2FF6EA33,production_final_contract,True,True,blocked,BLOCK,0.663462,0.475937,6,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v1_20260819/generation/photochemical_oxidation/qwen_flowpilot/repeat_01
Photochemical oxidation,GPT-5.4,One-shot,N2-EA1F3CBC,direct_json_object_v2,False,True,not_applicable_one_shot,SCREEN,0.951923,0.067991,0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v1_20260819/generation/photochemical_oxidation/openai_one_shot/repeat_01
Photochemical oxidation,GPT-5.4,FlowPilot,N2-4061E17E,production_final_contract,True,True,blocked,BLOCK,0.682693,0.367152,6,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v1_20260819/generation/photochemical_oxidation/openai_flowpilot/repeat_01
