model,case,one_shot_score_0_1,flowpilot_score_0_1,paired_delta,one_shot_excluded_score,flowpilot_excluded_score,excluded_paired_delta
GPT-5.4,CuAAC,0.90625,0.958333,0.052083,1.0,1.0,0.0
GPT-5.4,Exothermic dinitration,0.864583,0.739583,-0.125,1.0,0.916667,-0.083333
GPT-5.4,Hydrogenolysis,0.913461,0.836539,-0.076922,1.0,1.0,0.0
GPT-5.4,Photochemical oxidation,0.951923,0.682693,-0.26923,1.0,0.942308,-0.057692
GPT-5.4,Two-stage amidation,0.875,0.528846,-0.346154,0.980769,0.5,-0.480769
Qwen3.6-27B,CuAAC,0.864583,0.916667,0.052084,0.729167,0.833333,0.104166
Qwen3.6-27B,Exothermic dinitration,0.697917,0.791667,0.09375,0.395833,0.583333,0.1875
Qwen3.6-27B,Hydrogenolysis,0.596154,0.769231,0.173077,0.326923,0.538462,0.211539
Qwen3.6-27B,Photochemical oxidation,0.769231,0.663462,-0.105769,0.596154,0.326923,-0.269231
Qwen3.6-27B,Two-stage amidation,0.759615,0.75,-0.009615,0.519231,0.5,-0.019231
